,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1634101177,0,4,1,-37.8142704,145.0111272,-37.8054149,144.9436787,6485.5,2018-07-15,15:16:39,1631.5800000000004,15:43:50,12.33
ID1543845645,0,6,1,-37.7908183,144.9857929,-37.8154829,144.9665614,3845.1,2018-05-16,20:18:37,948.4799999999996,20:34:25,9.08
ID1705653103,0,2,3,-37.819925,144.9507187,-37.8242505,144.9905173,3929.2,2018-03-24,00:02:37,971.1599999999997,0:18:48,18.28
ID1976896518,0,9,6,-38.1109156,144.6541725,-37.7738026,144.9836466,51061.0,2018-06-09,17:14:08,12952.44000000001,20:50:00,31.39
ID1757868349,0,4,9,-37.8010135,144.9887015,-38.1109156,144.6541725,46514.0,2018-06-05,02:28:49,11209.079999999998,5:35:38,30.77
ID3995545278,1,5,4,-37.8096741,144.9365179,-37.7988111,144.9891795,5733.8,2018-04-21,12:28:46,1451.7599999999998,12:52:57,19.73
ID1602932529,0,4,1,-37.8026132,145.0024608,-37.8115095,144.959273,4495.3,2018-02-21,03:52:33,1093.3800000000006,4:10:46,15.65
ID3807438731,1,7,4,-37.8618349,144.905716,-37.81127,145.0019469,11176.0,2018-02-13,00:37:41,3611.9999999999977,1:37:53,31.91
ID5568596974,2,4,8,-37.8024438,145.0139305,-37.8158343,145.04645,4552.0,2018-03-13,18:36:27,1446.54,19:00:33,110.78
ID5838901445,2,3,9,-37.8188668,144.9979072,-38.1109156,144.6541725,46693.0,2018-01-27,06:02:31,11309.279999999999,9:11:00,725.78
ID1431863507,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-06-22,10:59:05,4917.479999999999,12:21:02,11.42
ID1579432565,0,6,1,-37.7907967,144.985865,-37.818112,144.9700093,3932.0,2018-03-07,16:55:44,1131.1200000000006,17:14:35,10.1
ID1992115888,0,4,3,-37.8157534,145.0032195,-37.8101377,144.9965834,1168.0,2018-07-17,04:43:42,287.58000000000004,4:48:29,12.86
ID1511434981,0,8,3,-37.807202,145.0266373,-37.8152202,144.9898946,4362.0,2018-05-02,07:10:18,1024.62,7:27:22,6.29
ID1460599735,0,8,2,-37.8006466,144.9357718,-37.8212793,144.9463412,4204.0,2018-06-20,22:01:54,961.0200000000001,22:17:55,14.66
ID3582772301,1,6,2,-37.7908183,144.9857929,-37.8156966,144.9327192,7024.0,2018-02-11,11:34:51,1806.4800000000002,12:04:57,17.1
ID1640973200,0,6,7,-37.801069,144.9638735,-37.8618349,144.905716,9630.0,2018-01-12,11:23:43,3226.0800000000004,12:17:29,8.62
