,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID5964688472,2.0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-04-09,21:22:25,13173.36,1:01:58,1324.25
1,ID3214201638,1.0,2,6,-37.8172239,144.9340654,-37.7907967,144.985865,6481.0,2018-05-24,18:06:44,1787.34,18:36:31,17.45
2,ID3264092610,1.0,9,1,-38.1109156,144.65417250000002,-37.814299299999995,144.974385,44444.0,2018-02-06,06:06:07,10634.099999999997,9:03:21,45.14
3,ID3695247712,1.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-03-15,06:20:00,13204.979999999996,10:00:04,55.56
4,ID3883989127,1.0,3,1,-37.81389779999999,144.9715646,-37.8174345,144.97131130000002,1199.0,2018-04-24,20:22:40,288.48,20:27:28,9.39
5,ID3469826675,1.0,4,7,-37.811068,145.0005697,-37.8618349,144.90571599999998,11044.0,2018-01-12,18:34:21,3589.200000000001,19:34:10,24.44
6,ID1743425542,0.0,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-03-08,13:08:46,11413.020000000008,16:18:59,22.95
7,ID1624214044,0.0,8,6,-37.807202000000004,145.0266373,-37.7738026,144.98364660000001,11470.0,2018-07-19,17:52:04,3458.9400000000005,18:49:42,12.02
8,ID5244864873,2.0,4,5,-37.7999614,144.9898983,-37.80682720000001,144.9378833,5939.0,2018-05-10,08:42:12,1443.6600000000005,9:06:15,151.9
9,ID1548939316,0.0,5,9,-37.801668,144.9340138,-38.1109156,144.65417250000002,43836.0,2018-02-22,17:15:35,10495.56,20:10:30,21.27
10,ID1376634287,0.0,3,5,-37.8190709,144.97920159999998,-37.7998391,144.9265225,5809.0,2018-03-05,03:18:58,1352.5199999999998,3:41:30,16.13
11,ID3730462713,1.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-03-27,21:29:25,12681.060000000005,1:00:46,61.86
12,ID3584656700,1.0,4,2,-37.8036107,145.00576930000003,-37.813646899999995,144.94090219999998,6405.0,2018-01-18,01:25:49,1588.1999999999996,1:52:17,22.25
13,ID3946931483,1.0,6,4,-37.773845,144.9836895,-37.8020781,144.9885617,4968.0,2018-06-09,02:10:43,1007.9400000000003,2:27:30,23.22
14,ID1263565797,0.0,7,8,-37.8618349,144.90571599999998,-37.8158343,145.04645,15151.0,2018-05-14,23:45:55,4911.5999999999985,1:07:46,16.76
15,ID3640103830,1.0,4,5,-37.8033468,145.0056955,-37.809225500000004,144.9315914,7336.0,2018-01-01,10:41:56,1852.68,11:12:48,13.06
16,ID1156545952,0.0,9,4,-38.1109156,144.65417250000002,-37.810443,145.01088380000002,48331.0,2018-05-22,01:05:24,11685.780000000002,4:20:09,24.92
17,ID1632732822,0.0,4,2,-37.8154501,145.0130966,-37.8210918,144.9473694,6394.0,2018-05-26,22:21:03,1667.400000000001,22:48:50,17.61
18,ID1772967239,0.0,8,6,-37.8158343,145.04645,-37.7874421,144.9804091,8357.0,2018-06-21,04:57:23,2437.38,5:38:00,15.4
19,ID3494748259,1.0,3,6,-37.8178033,144.96974330000003,-37.773845,144.9836895,5720.0,2018-03-23,21:01:28,1218.6,21:21:46,19.79
20,ID3523902187,1.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-04-07,22:33:07,12681.060000000005,2:04:28,65.97
21,ID1928560221,0.0,3,6,-37.818695399999996,145.0054807,-37.7907967,144.985865,4722.0,2018-01-23,06:20:24,1322.8200000000004,6:42:26,6.61
22,ID1448937487,0.0,2,9,-37.8244539,144.9451246,-38.1109156,144.65417250000002,42340.0,2018-01-19,02:07:28,10193.46,4:57:21,25.48
23,ID5682951245,2.0,4,5,-37.8025657,145.00503740000002,-37.803796000000006,144.9181405,8474.0,2018-03-13,14:20:26,2205.42,14:57:11,235.56
24,ID3755119442,1.0,2,6,-37.81296470000001,144.93913500000002,-37.7908183,144.9857929,5885.0,2018-06-28,22:12:38,1526.16,22:38:04,21.22
25,ID5326127956,2.0,6,7,-37.7738026,144.98364660000001,-37.8618349,144.90571599999998,16033.0,2018-03-19,12:38:09,5323.559999999999,14:06:52,543.04
26,ID3302469881,1.0,6,8,-37.7874325,144.9803767,-37.8158343,145.04645,8361.0,2018-06-18,19:58:05,2438.22,20:38:43,18.47
27,ID1223177385,0.0,2,4,-37.82325529999999,144.9376745,-37.8009307,145.005533,7568.0,2018-02-03,06:29:35,2024.04,7:03:19,9.8
28,ID3672667353,1.0,8,1,-37.807202000000004,145.0266373,-37.8076966,144.9490256,7582.0,2018-05-20,10:08:14,1915.2000000000005,10:40:09,17.98
29,ID1885988310,0.0,4,5,-37.8094473,145.0099419,-37.801931,144.9377721,8171.0,2018-01-16,04:01:26,2114.2800000000007,4:36:40,16.43
30,ID3394575580,1.0,4,2,-37.8136771,145.01295469999997,-37.820792499999996,144.9486185,6424.0,2018-07-27,23:39:12,1658.5200000000011,0:06:50,22.09
31,ID1164687226,0.0,5,4,-37.800530200000004,144.934364,-37.8130627,145.0117925,9479.0,2018-01-08,11:06:46,2391.1800000000007,11:46:37,7.95
32,ID3371201851,1.0,3,5,-37.818661299999995,144.9678091,-37.815945899999996,144.9285861,4898.0,2018-02-24,17:10:23,1141.7400000000005,17:29:24,16.98
33,ID1859227583,0.0,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-01-03,10:53:46,2302.38,11:32:08,9.34
34,ID3434149146,1.0,3,9,-37.8246293,144.9888236,-38.1109156,144.65417250000002,47146.0,2018-01-25,19:55:14,11265.12,23:02:59,52.16
35,ID1893928047,0.0,4,1,-37.8145518,145.00464409999998,-37.8198279,144.9651369,4084.0,2018-06-08,16:31:57,1002.2400000000004,16:48:39,12.15
36,ID3429959629,1.0,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-02-15,20:25:11,2302.38,21:03:33,20.03
37,ID5834197360,2.0,5,6,-37.8036999,144.93220300000002,-37.7738026,144.98364660000001,9979.0,2018-02-21,15:25:44,3072.4800000000005,16:16:56,322.17
38,ID1183405532,0.0,7,5,-37.8618349,144.90571599999998,-37.8090886,144.92914380000002,11157.0,2018-04-26,02:08:22,3615.2999999999975,3:08:37,17.57
39,ID5765743706,2.0,9,8,-38.1109156,144.65417250000002,-37.807202000000004,145.0266373,49777.0,2018-04-08,14:31:15,12099.660000000005,17:52:54,1217.2
40,ID1146753513,0.0,9,4,-38.1109156,144.65417250000002,-37.802260700000005,145.0030866,47724.0,2018-06-19,19:37:30,11586.600000000002,22:50:36,22.57
41,ID1868821180,0.0,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-03-13,12:50:08,12681.060000000005,16:21:29,23.26
42,ID1937577965,0.0,1,3,-37.8079663,144.9339219,-37.8171376,144.9856804,5394.0,2018-03-27,00:46:59,1302.6600000000008,1:08:41,14.54
43,ID1641555830,0.0,2,7,-37.8149802,144.9354243,-37.8618349,144.90571599999998,10738.0,2018-02-02,03:24:29,3499.26,4:22:48,16.82
44,ID5758609832,2.0,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-06-05,20:52:23,13204.979999999996,0:32:27,1319.67
45,ID1460139740,0.0,3,6,-37.815377000000005,144.9730885,-37.7874325,144.9803767,3416.0,2018-03-10,06:29:13,821.5200000000003,6:42:54,9.08
46,ID1334073968,0.0,9,2,-38.1109156,144.65417250000002,-37.813219700000005,144.9334721,43720.0,2018-03-17,12:59:03,10500.479999999998,15:54:03,21.170840263906257
