,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
0,ID3344096356,1,4,7,-37.8115789,145.0113915,-37.8618349,144.90571599999998,12031.0,2018-03-13,20:39:15,3837.360000000001,21:43:12,23.1
1,ID3343738965,1,5,9,-37.801565999999994,144.9386085,-38.1109156,144.65417250000002,47448.0,2018-04-10,18:51:44,11540.04,22:04:04,51.54
2,ID3705276074,1,6,2,-37.773845,144.9836895,-37.8143826,144.9328127,8170.0,2018-06-10,11:12:27,1817.88,11:42:44,15.52
3,ID1618965150,0,1,3,-37.8134098,144.96211269999998,-37.8194259,144.98193659999998,2293.0,2018-03-05,11:48:52,572.5199999999999,11:58:24,5.96
4,ID3347574945,1,9,4,-38.1109156,144.65417250000002,-37.8105716,145.0008345,46977.0,2018-06-07,15:02:37,11364.840000000007,18:12:01,48.25
5,ID1988182119,0,4,5,-37.8107693,145.010727,-37.8090045,144.9352188,8963.0,2018-06-26,16:48:47,2177.82,17:25:04,9.86
6,ID3846976773,1,4,6,-37.815785999999996,145.0094576,-37.7874421,144.9804091,5804.0,2018-02-13,20:20:57,1538.4599999999994,20:46:35,6.665
7,ID3638221065,1,5,6,-37.8018706,144.93767830000002,-37.7874421,144.9804091,5997.0,2018-04-13,07:15:02,1630.02,7:42:12,9.76
8,ID5145184423,2,6,8,-37.7907967,144.985865,-37.807202000000004,145.0266373,4834.0,2018-03-15,11:42:44,1358.6400000000006,12:05:22,98.96
9,ID3252607115,1,3,9,-37.8269131,144.9809013,-38.1109156,144.65417250000002,45438.0,2018-05-04,13:50:32,10962.0,16:53:14,47.79
10,ID3182378042,1,6,7,-37.7874421,144.9804091,-37.8618349,144.90571599999998,11630.0,2018-01-08,19:59:21,3697.0200000000013,21:00:58,22.53
11,ID5272775699,2,8,3,-37.8158343,145.04645,-37.8122606,144.97354380000002,6799.0,2018-04-15,17:10:00,2008.3200000000006,17:43:28,156.72
12,ID3933018266,1,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-06-09,23:44:38,11413.020000000008,2:54:51,57.57
13,ID1566270868,0,3,2,-37.8205085,144.9767566,-37.8232309,144.93780759999999,4136.0,2018-03-02,16:00:46,1039.0800000000004,16:18:05,7.3
14,ID1591666668,0,1,8,-37.805337,144.950642,-37.8158343,145.04645,8541.0,2018-05-23,16:17:29,2458.4400000000005,16:58:27,4.755
15,ID3661763591,1,1,8,-37.8088896,144.96614590000001,-37.8158343,145.04645,7163.0,2018-06-18,08:17:37,2087.94,8:52:24,11.61
16,ID1778561807,0,6,7,-37.7874325,144.9803767,-37.8618349,144.90571599999998,11633.0,2018-01-18,22:31:24,3663.780000000001,23:32:27,13.0
17,ID1541467733,0,1,6,-37.8195646,144.9635801,-37.773845,144.9836895,5942.0,2018-02-22,15:49:37,1300.26,16:11:17,7.31
18,ID5297235174,2,6,9,-37.773845,144.9836895,-38.1109156,144.65417250000002,48197.0,2018-01-16,11:33:41,11519.399999999998,14:45:40,372.125
19,ID1420478316,0,3,9,-37.810238700000006,144.987113,-38.1109156,144.65417250000002,45697.0,2018-02-21,22:37:07,10934.28,1:39:21,21.52
20,ID3130353050,1,7,5,-37.8618349,144.90571599999998,-37.8067305,144.9393992,10359.0,2018-04-08,11:40:55,3409.619999999999,12:37:44,9.71
21,ID3901658022,1,6,5,-37.7738026,144.98364660000001,-37.803636100000006,144.9322365,9971.0,2018-06-14,05:13:32,3072.18,6:04:44,23.94
22,ID1113575482,0,4,3,-37.8102031,144.9937946,-37.824162799999996,144.9850543,2106.0,2018-01-27,23:46:49,531.72,23:55:40,8.165
23,ID5151234683,2,6,5,-37.7874325,144.9803767,-37.8149612,144.927518,7852.0,2018-01-14,11:02:12,1989.4200000000014,11:35:21,72.945
24,ID5638393221,2,6,4,-37.7908183,144.9857929,-37.7998614,144.9932054,1721.0,2018-04-07,20:04:31,422.46,20:11:33,54.31
25,ID3919423549,1,6,1,-37.7874325,144.9803767,-37.8104033,144.96080980000002,3665.0,2018-07-11,21:05:28,892.3800000000003,21:20:20,15.94
26,ID3466827058,1,9,8,-38.1109156,144.65417250000002,-37.8158343,145.04645,51032.0,2018-07-04,13:43:24,12681.060000000005,17:14:45,53.66
27,ID1982024533,0,5,6,-37.803636100000006,144.9322365,-37.7908183,144.9857929,6274.0,2018-06-26,21:32:55,1628.6999999999996,22:00:03,13.74
28,ID3952894069,1,9,7,-38.1109156,144.65417250000002,-37.8618349,144.90571599999998,50797.0,2018-05-11,05:10:46,13204.979999999996,8:50:50,60.78
29,ID3587106945,1,6,3,-37.7907967,144.985865,-37.819306299999994,144.9897682,3780.0,2018-04-08,08:36:27,1048.3200000000004,8:53:55,13.02
30,ID3837765153,1,7,3,-37.8618349,144.90571599999998,-37.8221817,144.97857209999998,8537.0,2018-05-09,11:37:49,2869.38,12:25:38,14.93
31,ID5505270731,2,9,6,-38.1109156,144.65417250000002,-37.7874421,144.9804091,47035.0,2018-06-11,15:04:09,11413.020000000008,18:14:22,747.35
32,ID3482085131,1,3,5,-37.8254532,144.9827618,-37.8030115,144.92950580000002,6171.0,2018-07-09,22:30:56,1488.5400000000004,22:55:44,10.255
33,ID1587003663,0,2,7,-37.8100144,144.9360754,-37.8618349,144.90571599999998,10533.0,2018-04-15,12:49:34,3407.5200000000004,13:46:21,15.73
34,ID1818158405,0,4,6,-37.7999571,145.0184074,-37.7738026,144.98364660000001,10820.0,2018-01-12,07:17:36,3253.4400000000005,8:11:49,4.295
35,ID1781853584,0,7,5,-37.8618349,144.90571599999998,-37.798905299999994,144.9198257,12362.0,2018-04-22,17:21:49,3850.619999999999,18:25:59,17.58
36,ID1824335355,0,1,3,-37.807637,144.9426125,-37.8113501,145.0009867,5577.0,2018-07-12,07:02:56,1420.5600000000004,7:26:36,5.93
37,ID1658951435,0,5,9,-37.805919,144.9392258,-38.1109156,144.65417250000002,43503.0,2018-02-07,21:45:25,10476.72,0:40:01,21.93
38,ID5249831650,2,4,8,-37.8067615,144.9979966,-37.807202000000004,145.0266373,2915.0,2018-05-16,09:10:49,734.1600000000002,9:23:03,57.88
39,ID3764081553,1,5,2,-37.8058557,144.9280957,-37.818163899999995,144.9257187,2986.0,2018-05-19,03:53:02,714.18,4:04:56,21.13
40,ID3506275596,1,2,6,-37.8251576,144.9497179,-37.773845,144.9836895,7415.0,2018-04-13,19:16:01,1647.4800000000002,19:43:28,16.12
41,ID1743487638,0,4,5,-37.8040907,145.0051631,-37.8058557,144.9280957,7498.0,2018-01-06,08:27:46,1978.5,9:00:44,10.98
42,ID3647644702,1,9,1,-38.1109156,144.65417250000002,-37.8100071,144.9333813,43296.0,2018-07-07,15:45:15,10372.139999999994,18:38:07,46.96
43,ID3306019493,1,1,3,-37.80588,144.95598999999999,-37.8252403,144.982747,3799.0,2018-05-25,12:20:43,941.6400000000006,12:36:24,12.3
44,ID3129355619,1,5,9,-37.799655200000004,144.93712419999997,-38.1109156,144.65417250000002,44233.0,2018-07-15,22:30:37,10640.64,1:27:57,55.43
45,ID1270517273,0,9,1,-38.1109156,144.65417250000002,-37.820496399999996,144.9572389,42854.0,2018-03-24,02:26:31,10308.179999999991,5:18:19,25.28
46,ID3286349509,1,4,5,-37.8079234,144.9921256,-37.8057681,144.93335359999998,6201.0,2018-03-14,15:36:57,1578.24,16:03:15,16.3
47,ID3762916049,1,7,1,-37.8618349,144.90571599999998,-37.803321000000004,144.9498863,9944.0,2018-03-23,21:52:28,3291.1199999999963,22:47:19,26.22
48,ID3922814430,1,6,2,-37.7874421,144.9804091,-37.8148701,144.9356697,6182.0,2018-04-27,04:13:41,1560.4799999999993,4:39:41,20.61
49,ID1339098328,0,8,6,-37.8158343,145.04645,-37.7874325,144.9803767,8361.0,2018-04-27,21:12:53,2438.2200000000007,21:53:31,12.85
50,ID3523835282,1,4,5,-37.809573,145.001699,-37.804877399999995,144.9358409,6090.0,2018-04-17,10:22:49,1564.2600000000002,10:48:53,10.2
51,ID1458159033,0,8,9,-37.807202000000004,145.0266373,-38.1109156,144.65417250000002,49777.0,2018-04-19,17:38:07,12069.78,20:59:16,20.11
